persona_type,count,harmful_cot_rate,harmful_response_rate,refusal_rate,abs_diff_harmful_cot,abs_diff_harmful_response,abs_diff_refusal,harmful_cot_sum,harmful_response_sum
baseline,40,18.333333333333336,4.166666666666667,45.0,-5.0,4.166666666666667,5.0,22,5
domain-specific,60,7.222222222222223,0.0,93.33333333333333,-3.8888888888888897,0.0,-6.666666666666667,13,0
motivation-based,60,13.333333333333334,0.0,98.33333333333333,2.2222222222222205,0.0,-1.6666666666666667,24,0
trait-based,60,8.88888888888889,0.0,96.66666666666667,-2.2222222222222237,0.0,-3.3333333333333335,16,0
