persona_type,count,harmful_cot_rate,harmful_response_rate,refusal_rate,abs_diff_harmful_cot,abs_diff_harmful_response,abs_diff_refusal,harmful_cot_sum,harmful_response_sum
baseline,40,16.666666666666668,18.333333333333336,12.5,3.3333333333333335,-8.333333333333334,12.5,20,22
domain-specific,200,2.666666666666667,0.16666666666666669,37.5,-10.666666666666668,-26.5,37.5,16,1
motivation-based,200,3.666666666666667,1.1666666666666667,41.5,-9.666666666666668,-25.5,41.5,22,7
trait-based,200,5.666666666666668,2.3333333333333335,34.0,-7.666666666666668,-24.333333333333336,34.0,34,14
